POSTING DATE,QUANTITY
2019-12-06,200
2019-12-06,200
2019-12-20,200
2019-12-26,180
2019-12-26,326
2019-12-28,494
2020-02-07,230
2020-02-07,230
2020-02-08,300
2020-02-17,230
2020-02-20,110
2020-02-25,100
2020-07-06,370
2020-07-07,370
2020-07-08,370
2020-07-09,370
2020-07-10,370
2020-07-11,370
2020-07-13,370
2020-07-14,120
2020-07-20,350
2020-07-21,350
2020-07-22,300
2020-07-24,150
2020-07-26,250
2020-07-26,250
2020-07-28,200
2020-07-28,270
2020-07-30,300
2020-07-30,300
2020-07-30,380
2020-07-30,300
2020-07-31,380
2020-07-31,300
2020-07-31,300
2020-08-01,360
2020-08-01,300
2020-08-02,342
2020-08-02,300
2020-08-03,300
2020-08-03,300
2020-08-04,300
2020-08-04,380
2020-08-04,300
2020-08-05,300
2020-08-05,300
2020-08-05,300
2020-08-06,300
2020-08-06,300
2020-08-06,140
2020-08-06,150
2020-08-06,150
2020-08-06,300
2020-08-06,300
2020-08-06,160
2020-08-07,300
2020-08-07,270
2020-08-07,300
2020-08-07,300
2020-08-08,420
2020-08-08,150
2020-08-08,300
2020-08-08,300
2020-08-08,300
2020-08-08,300
2020-08-08,300
2020-08-08,300
2020-08-08,150
2020-08-08,300
2020-08-09,420
2020-08-09,420
2020-08-10,300
2020-08-10,300
2020-08-10,322
2020-08-10,322
2020-08-10,300
2020-08-10,100
2020-08-10,350
2020-08-10,300
2020-08-10,420
2020-08-11,500
2020-08-11,100
2020-08-11,300
2020-08-11,150
2020-08-11,300
2020-08-11,500
2020-08-11,300
2020-08-11,500
2020-08-11,200
2020-08-11,500
2020-08-11,150
2020-08-11,160
2020-08-11,300
2020-08-12,130
2020-08-12,300
2020-08-12,300
2020-08-12,170
2020-08-12,300
2020-08-12,200
2020-08-12,150
2020-08-12,150
2020-08-12,175
2020-08-12,300
2020-08-13,320
2020-08-13,130
2020-08-13,50
2020-08-14,150
2020-08-14,200
2020-08-15,520
2020-08-17,180
2020-08-17,180
2020-08-17,140
2020-08-18,180
2020-08-18,150
2020-08-18,70
